 Mortalidade - Brasil - Dados preliminares
Óbitos p/Residênc por Município e Faixa Etária
Causas evitáveis - 0 a 4 anos: 1.1. Reduzível pelas ações de imunização, 1.2.1 Reduzíveis atenção à mulher na gestação, 1.2.2 Reduz por adequada atenção à mulher no parto, 1.2.3 Reduzíveis adequada atenção ao recém-nascido, 1.3. Reduz ações diagnóstico e tratamento adequado, 1.4. Reduz. ações promoção à saúde vinc. Aç. At
Faixa Etária: Menor 1 ano, 1 a 4 anos, 5 a 9 anos
Período:2017
"Município";"Menor 1 ano";"1 a 4 anos";"5 a 9 anos";"Total"
"150145 Belterra";6;-;-;6
"150150 Benevides";8;1;-;9
"150157 Bom Jesus do Tocantins";5;1;-;6
"150160 Bonito";2;-;-;2
"150170 Bragança";19;1;1;21
"150172 Brasil Novo";2;-;-;2
"150175 Brejo Grande do Araguaia";1;1;-;2
"150178 Breu Branco";13;-;-;13
"150180 Breves";32;8;3;43
"150190 Bujaru";4;1;1;6
"150200 Cachoeira do Arari";-;-;1;1
"150210 Cametá";25;7;3;35
"150215 Canaã dos Carajás";12;-;-;12
"150220 Capanema";19;2;1;22
"150230 Capitão Poço";9;-;-;9
"150240 Castanhal";17;3;2;22
"150250 Chaves";2;1;-;3
"150260 Colares";1;-;-;1
"150270 Conceição do Araguaia";10;1;1;12
"150275 Concórdia do Pará";3;-;-;3
"150276 Cumaru do Norte";2;-;-;2
"150277 Curionópolis";3;1;1;5
"150280 Curralinho";7;2;-;9
"150285 Curuá";2;-;-;2
"150290 Curuçá";5;-;1;6
"150293 Dom Eliseu";6;1;-;7
"150295 Eldorado do Carajás";2;1;-;3
"150300 Faro";4;-;-;4
"150304 Floresta do Araguaia";3;2;1;6
"150307 Garrafão do Norte";3;-;-;3
"150309 Goianésia do Pará";3;-;-;3
"150310 Gurupá";4;2;-;6
"150320 Igarapé-Açu";3;2;-;5
"150330 Igarapé-Miri";11;5;-;16
"150340 Inhangapi";2;-;1;3
"150345 Ipixuna do Pará";8;2;-;10
"150350 Irituia";4;-;1;5
"150360 Itaituba";38;1;4;43
"150370 Itupiranga";6;2;3;11
"150375 Jacareacanga";9;1;-;10
"150380 Jacundá";7;1;1;9
"150390 Juruti";19;2;1;22
"150400 Limoeiro do Ajuru";6;3;1;10
"150405 Mãe do Rio";5;2;-;7
"150420 Marabá";61;7;5;73
"150430 Maracanã";5;-;1;6
"150440 Marapanim";2;-;1;3
"150442 Marituba";16;3;4;23
"150445 Medicilândia";1;-;-;1
"150450 Melgaço";5;-;1;6
"150460 Mocajuba";8;-;1;9
"150470 Moju";18;3;2;23
"150475 Mojuí dos Campos";4;-;1;5
"150480 Monte Alegre";19;3;2;24
"150490 Muaná";8;1;1;10
"150495 Nova Esperança do Piriá";4;-;-;4
"150497 Nova Ipixuna";4;-;-;4
"150500 Nova Timboteua";2;-;-;2
"150503 Novo Progresso";10;-;-;10
"150506 Novo Repartimento";11;3;1;15
"150510 Óbidos";10;1;-;11
"150520 Oeiras do Pará";13;6;-;19
"150530 Oriximiná";27;3;1;31
"150540 Ourém";1;-;-;1
"150543 Ourilândia do Norte";9;1;-;10
"150548 Pacajá";7;-;-;7
"150549 Palestina do Pará";1;-;-;1
"150550 Paragominas";17;1;3;21
"150553 Parauapebas";48;6;3;57
"150555 Pau D'Arco";2;-;1;3
"150560 Peixe-Boi";1;-;-;1
"150563 Piçarra";5;1;-;6
"150565 Placas";2;-;-;2
"150570 Ponta de Pedras";5;3;-;8
"150580 Portel";13;4;2;19
"150590 Porto de Moz";7;5;3;15
"150600 Prainha";4;4;-;8
"150610 Primavera";3;-;-;3
"150613 Redenção";19;1;1;21
"150616 Rio Maria";4;-;-;4
"150618 Rondon do Pará";7;1;1;9
"150619 Rurópolis";4;1;1;6
"150620 Salinópolis";3;-;-;3
"150630 Salvaterra";4;2;1;7
"150635 Santa Bárbara do Pará";3;-;-;3
"150640 Santa Cruz do Arari";2;-;-;2
"150650 Santa Izabel do Pará";10;2;3;15
"150655 Santa Luzia do Pará";2;1;-;3
"150658 Santa Maria das Barreiras";2;-;1;3
"150660 Santa Maria do Pará";6;1;-;7
"150670 Santana do Araguaia";6;-;-;6
"150680 Santarém";97;7;6;110
"150690 Santarém Novo";1;-;-;1
"150700 Santo Antônio do Tauá";1;-;-;1
"150710 São Caetano de Odivelas";1;-;-;1
"150715 São Domingos do Araguaia";1;1;1;3
"150720 São Domingos do Capim";6;-;-;6
"150730 São Félix do Xingu";11;6;-;17
"150740 São Francisco do Pará";4;1;-;5
"150745 São Geraldo do Araguaia";1;1;-;2
"150747 São João de Pirabas";3;1;-;4
"150750 São João do Araguaia";1;1;-;2
"150760 São Miguel do Guamá";8;1;1;10
"150770 São Sebastião da Boa Vista";4;3;1;8
"150775 Sapucaia";1;-;-;1
"150780 Senador José Porfírio";2;2;-;4
"150790 Soure";9;-;-;9
"150795 Tailândia";16;-;1;17
"150796 Terra Alta";2;1;-;3
"150797 Terra Santa";3;-;-;3
"150800 Tomé-Açu";15;-;2;17
"150803 Tracuateua";15;1;-;16
"150805 Trairão";8;1;-;9
"150808 Tucumã";8;1;-;9
"150810 Tucuruí";23;2;-;25
"150812 Ulianópolis";5;-;-;5
"150815 Uruará";6;3;1;10
"150820 Vigia";7;1;-;8
"150830 Viseu";13;2;1;16
"150835 Vitória do Xingu";7;1;1;9
"150840 Xinguara";10;2;-;12
"160020 Calçoene";1;-;-;1
"160021 Cutias";3;1;-;4
"160023 Ferreira Gomes";1;-;-;1
"160025 Itaubal";-;1;-;1
"160027 Laranjal do Jari";6;3;1;10
"160030 Macapá";154;22;6;182
"160040 Mazagão";7;1;2;10
"160050 Oiapoque";12;1;-;13
"160015 Pedra Branca do Amapari";3;1;-;4
"160053 Porto Grande";4;1;-;5
"160055 Pracuúba";1;1;-;2
"160060 Santana";26;6;1;33
"160005 Serra do Navio";1;-;-;1
"160070 Tartarugalzinho";1;1;2;4
"160080 Vitória do Jari";7;-;-;7
"170025 Abreulândia";1;-;-;1
"170035 Aliança do Tocantins";-;-;1;1
"170040 Almas";1;-;-;1
"170070 Alvorada";2;-;-;2
"170100 Ananás";1;-;-;1
"170190 Araguacema";2;-;1;3
"170200 Araguaçu";3;-;-;3
"170210 Araguaína";20;2;-;22
"170220 Araguatins";5;1;-;6
"170240 Arraias";-;1;-;1
"170255 Augustinópolis";6;-;-;6
"170270 Aurora do Tocantins";1;-;-;1
"170290 Axixá do Tocantins";2;-;-;2
"170305 Bandeirantes do Tocantins";1;-;-;1
"170307 Barra do Ouro";2;-;-;2
"170310 Barrolândia";2;-;-;2
"170320 Bernardo Sayão";-;-;1;1
"170330 Bom Jesus do Tocantins";-;-;1;1
"170370 Brejinho de Nazaré";1;-;-;1
"170384 Campos Lindos";1;2;-;3
"170389 Carrasco Bonito";1;-;-;1
"170550 Colinas do Tocantins";5;-;1;6
"170555 Combinado";2;-;-;2
"170560 Conceição do Tocantins";2;-;-;2
"170610 Cristalândia";1;-;-;1
"170700 Dianópolis";4;-;-;4
"170710 Divinópolis do Tocantins";1;-;-;1
"170740 Esperantina";1;1;-;2
"170755 Fátima";1;-;-;1
"170770 Filadélfia";1;1;-;2
"170820 Formoso do Araguaia";3;-;1;4
"170825 Fortaleza do Tabocão";1;-;-;1
"170830 Goianorte";-;-;1;1
"170900 Goiatins";2;-;-;2
"170930 Guaraí";4;-;1;5
"170950 Gurupi";16;-;2;18
"171050 Itacajá";3;1;-;4
"171090 Itapiratins";1;-;1;2
"171110 Itaporã do Tocantins";-;1;-;1
"171190 Lagoa da Confusão";4;1;-;5
"171215 Lavandeira";1;-;-;1
"171280 Maurilândia do Tocantins";1;-;-;1
"171320 Miracema do Tocantins";5;2;1;8
"171330 Miranorte";1;1;-;2
"171360 Monte do Carmo";1;1;-;2
"171370 Monte Santo do Tocantins";-;-;1;1
"171395 Muricilândia";2;-;-;2
"171420 Natividade";1;1;-;2
"171488 Nova Olinda";1;-;-;1
"171510 Novo Acordo";2;-;-;2
"171550 Oliveira de Fátima";1;-;-;1
"172100 Palmas";33;3;1;37
"171570 Palmeirante";1;1;-;2
"171380 Palmeiras do Tocantins";1;-;-;1
"171610 Paraíso do Tocantins";8;-;-;8
"171620 Paranã";3;-;-;3
"171630 Pau D'Arco";1;-;-;1
"171650 Pedro Afonso";2;-;-;2
"171660 Peixe";1;-;-;1
"171750 Pium";1;-;-;1
"171780 Ponte Alta do Bom Jesus";1;-;-;1
"171790 Ponte Alta do Tocantins";-;1;-;1
"171800 Porto Alegre do Tocantins";1;-;-;1
"171820 Porto Nacional";12;-;1;13
"171850 Recursolândia";1;-;-;1
"171855 Riachinho";1;-;-;1
"171875 Rio Sono";1;-;-;1
"171880 Sampaio";1;-;-;1
"171884 Sandolândia";-;1;-;1
"171886 Santa Fé do Araguaia";1;-;-;1
"171900 Santa Tereza do Tocantins";1;-;-;1
"172000 Santa Terezinha do Tocantins";1;-;-;1
"172010 São Bento do Tocantins";2;1;-;3
"172020 São Miguel do Tocantins";3;1;-;4
"172025 São Salvador do Tocantins";-;-;1;1
"172065 Silvanópolis";1;-;-;1
"172080 Sítio Novo do Tocantins";1;-;-;1
"172090 Taguatinga";1;-;-;1
"172110 Tocantínia";4;1;-;5
"172120 Tocantinópolis";4;2;1;7
"172125 Tupirama";-;1;-;1
"172208 Wanderlândia";2;-;-;2
"172210 Xambioá";1;-;-;1
"210005 Açailândia";17;4;1;22
"210010 Afonso Cunha";6;-;-;6
"210020 Alcântara";-;1;-;1
"210030 Aldeias Altas";4;-;2;6
"210040 Altamira do Maranhão";2;-;-;2
"210043 Alto Alegre do Maranhão";4;-;-;4
"210047 Alto Alegre do Pindaré";5;-;1;6
"210050 Alto Parnaíba";2;-;1;3
"210060 Amarante do Maranhão";13;2;2;17
"210070 Anajatuba";5;1;-;6
"210080 Anapurus";2;-;1;3
"210083 Apicum-Açu";3;1;1;5
"210087 Araguanã";2;-;-;2
"210090 Araioses";10;2;3;15
"210095 Arame";6;2;-;8
"210100 Arari";2;1;-;3
"210110 Axixá";3;-;-;3
"210120 Bacabal";8;1;2;11
"210125 Bacabeira";2;-;1;3
"210130 Bacuri";3;-;-;3
"210140 Balsas";29;4;1;34
"210150 Barão de Grajaú";4;-;1;5
"210160 Barra do Corda";24;7;-;31
"210170 Barreirinhas";11;1;1;13
"210177 Bela Vista do Maranhão";3;-;-;3
"210173 Belágua";3;2;-;5
"210180 Benedito Leite";1;-;-;1
"210190 Bequimão";2;-;-;2
"210197 Boa Vista do Gurupi";2;-;-;2
"210200 Bom Jardim";7;-;1;8
"210203 Bom Jesus das Selvas";8;3;1;12
"210207 Bom Lugar";3;-;1;4
"210210 Brejo";3;-;-;3
"210220 Buriti";10;-;1;11
"210230 Buriti Bravo";3;1;2;6
"210232 Buriticupu";22;4;-;26
"210235 Buritirana";5;1;-;6
"210237 Cachoeira Grande";2;-;-;2
"210240 Cajapió";2;2;-;4
"210250 Cajari";3;-;-;3
"210255 Campestre do Maranhão";2;1;-;3
"210260 Cândido Mendes";2;-;-;2
"210270 Cantanhede";3;-;-;3
"210275 Capinzal do Norte";2;2;1;5
"210280 Carolina";4;1;-;5
"210290 Carutapera";5;-;-;5
"210300 Caxias";20;1;2;23
"210310 Cedral";2;-;-;2
"210315 Centro do Guilherme";4;1;-;5
"210317 Centro Novo do Maranhão";2;-;-;2
"210320 Chapadinha";21;3;1;25
"210325 Cidelândia";2;-;-;2
"210330 Codó";23;3;1;27
"210340 Coelho Neto";10;1;-;11
"210350 Colinas";4;1;-;5
"210355 Conceição do Lago-Açu";2;3;-;5
"210360 Coroatá";12;2;1;15
"210370 Cururupu";7;1;2;10
"210375 Davinópolis";2;-;-;2
"210380 Dom Pedro";4;2;1;7
"210400 Esperantinópolis";5;1;-;6
"210405 Estreito";11;-;1;12
"210408 Fernando Falcão";3;2;-;5
"210409 Formosa da Serra Negra";3;-;-;3
"210410 Fortaleza dos Nogueiras";4;-;-;4
"210420 Fortuna";2;-;-;2
"210430 Godofredo Viana";2;-;-;2
"210440 Gonçalves Dias";7;1;-;8
"210450 Governador Archer";1;-;-;1
"210455 Governador Edison Lobão";1;1;-;2
"210460 Governador Eugênio Barros";2;1;-;3
"210462 Governador Luiz Rocha";3;-;-;3
"210465 Governador Newton Bello";3;-;-;3
"210467 Governador Nunes Freire";7;1;-;8
"210470 Graça Aranha";3;1;-;4
"210480 Grajaú";22;5;2;29
"210490 Guimarães";4;-;-;4
"210500 Humberto de Campos";4;-;-;4
"210510 Icatu";6;-;-;6
"210515 Igarapé do Meio";1;-;-;1
"210520 Igarapé Grande";4;-;1;5
"210530 Imperatriz";44;7;-;51
"210535 Itaipava do Grajaú";1;-;1;2
"210540 Itapecuru Mirim";14;2;1;17
"210542 Itinga do Maranhão";3;-;-;3
"210545 Jatobá";1;-;-;1
"210547 Jenipapo dos Vieiras";7;3;-;10
"210550 João Lisboa";2;2;-;4
"210560 Joselândia";1;1;-;2
"210565 Junco do Maranhão";1;-;-;1
"210570 Lago da Pedra";3;1;-;4
"210580 Lago do Junco";1;-;-;1
"210594 Lago dos Rodrigues";3;-;-;3
"210590 Lago Verde";5;-;1;6
"210592 Lagoa do Mato";1;-;-;1
"210596 Lagoa Grande do Maranhão";4;1;-;5
"210600 Lima Campos";1;1;-;2
"210610 Loreto";3;1;-;4
"210630 Magalhães de Almeida";2;-;-;2
"210632 Maracaçumé";4;-;1;5
"210635 Marajá do Sena";-;1;-;1
"210637 Maranhãozinho";1;1;-;2
"210640 Mata Roma";4;1;-;5
"210650 Matinha";6;-;-;6
"210660 Matões";5;2;-;7
"210663 Matões do Norte";1;-;-;1
"210667 Milagres do Maranhão";1;-;-;1
"210670 Mirador";3;-;-;3
"210675 Miranda do Norte";1;-;-;1
"210680 Mirinzal";2;-;-;2
"210690 Monção";7;1;-;8
"210700 Montes Altos";1;1;-;2
"210710 Morros";8;-;1;9
"210720 Nina Rodrigues";5;1;-;6
"210735 Nova Olinda do Maranhão";3;-;1;4
"210740 Olho d'Água das Cunhãs";5;-;-;5
"210745 Olinda Nova do Maranhão";2;-;-;2
"210750 Paço do Lumiar";24;1;-;25
"210760 Palmeirândia";6;-;-;6
"210770 Paraibano";3;-;-;3
"210780 Parnarama";11;2;-;13
"210790 Passagem Franca";3;-;-;3
"210800 Pastos Bons";7;1;-;8
"210805 Paulino Neves";2;-;-;2
"210810 Paulo Ramos";3;-;-;3
"210820 Pedreiras";8;-;1;9
"210825 Pedro do Rosário";7;2;-;9
"210830 Penalva";9;2;1;12
"210840 Peri Mirim";2;-;1;3
"210845 Peritoró";3;1;-;4
"210850 Pindaré-Mirim";4;2;3;9
"210860 Pinheiro";24;5;-;29
"210870 Pio XII";3;1;1;5
"210880 Pirapemas";2;-;-;2
"210890 Poção de Pedras";3;-;1;4
"210900 Porto Franco";7;-;1;8
"210905 Porto Rico do Maranhão";1;-;-;1
"210910 Presidente Dutra";6;-;-;6
"210920 Presidente Juscelino";1;-;-;1
"210923 Presidente Médici";1;-;-;1
"210927 Presidente Sarney";6;-;-;6
"210930 Presidente Vargas";3;-;1;4
"210940 Primeira Cruz";2;-;-;2
"210945 Raposa";5;-;-;5
"210950 Riachão";5;1;1;7
"210955 Ribamar Fiquene";-;1;-;1
"210960 Rosário";6;1;-;7
"210980 Santa Helena";3;-;-;3
"210990 Santa Inês";14;-;-;14
"211000 Santa Luzia";8;1;1;10
"211003 Santa Luzia do Paruá";6;-;-;6
"211010 Santa Quitéria do Maranhão";10;-;2;12
"211020 Santa Rita";9;1;-;10
"211023 Santana do Maranhão";1;-;-;1
"211030 Santo Antônio dos Lopes";1;-;-;1
"211040 São Benedito do Rio Preto";5;-;-;5
"211050 São Bento";12;-;1;13
"211065 São Domingos do Azeitão";2;-;-;2
"211070 São Domingos do Maranhão";5;-;-;5
"211080 São Félix de Balsas";3;-;-;3
"211085 São Francisco do Brejão";2;-;1;3
"211090 São Francisco do Maranhão";1;-;-;1
"211100 São João Batista";4;1;-;5
"211102 São João do Carú";2;1;-;3
"211105 São João do Paraíso";3;1;1;5
"211107 São João do Soter";5;1;-;6
"211110 São João dos Patos";7;-;-;7
"211120 São José de Ribamar";44;4;1;49
"211130 São Luís";192;9;7;208
"211140 São Luís Gonzaga do Maranhão";1;1;-;2
"211150 São Mateus do Maranhão";7;1;3;11
"211157 São Pedro dos Crentes";2;-;-;2
"211160 São Raimundo das Mangabeiras";3;1;-;4
"211163 São Raimundo do Doca Bezerra";1;-;-;1
"211167 São Roberto";1;-;-;1
"211170 São Vicente Ferrer";3;-;1;4
"211174 Senador Alexandre Costa";3;-;-;3
"211176 Senador La Rocque";3;-;-;3
"211178 Serrano do Maranhão";2;-;-;2
"211180 Sítio Novo";2;-;-;2
"211195 Sucupira do Riachão";3;-;-;3
"211210 Timbiras";6;-;-;6
"211220 Timon";25;3;1;29
"211223 Trizidela do Vale";3;1;-;4
"211227 Tufilândia";2;-;1;3
"211230 Tuntum";8;-;-;8
"211240 Turiaçu";14;-;-;14
"211245 Turilândia";1;1;2;4
"211250 Tutóia";11;-;1;12
"211260 Urbano Santos";7;-;1;8
"211270 Vargem Grande";6;2;1;9
"211280 Viana";18;1;-;19
"211285 Vila Nova dos Martírios";4;-;-;4
"211290 Vitória do Mearim";5;2;2;9
"211300 Vitorino Freire";4;-;2;6
"211400 Zé Doca";15;2;1;18
"210000 Município ignorado - MA";6;1;-;7
"220005 Acauã";1;-;-;1
"220020 Água Branca";4;-;-;4
"220025 Alagoinha do Piauí";3;-;-;3
"220027 Alegrete do Piauí";1;-;-;1
"220030 Alto Longá";2;1;-;3
"220040 Altos";7;-;-;7
"220045 Alvorada do Gurguéia";2;-;-;2
"220050 Amarante";6;2;-;8
"220070 Anísio de Abreu";1;-;-;1
"220080 Antônio Almeida";1;1;-;2
"220100 Arraial";3;-;-;3
"220110 Avelino Lopes";1;-;-;1
"220115 Baixa Grande do Ribeiro";2;-;-;2
"220117 Barra D'Alcântara";2;-;-;2
"220120 Barras";6;-;-;6
"220130 Barreiras do Piauí";1;-;-;1
"220150 Batalha";6;-;-;6
"220155 Bela Vista do Piauí";2;-;-;2
"220157 Belém do Piauí";1;-;-;1
"220160 Beneditinos";5;-;-;5
"220170 Bertolínia";-;-;1;1
"220173 Betânia do Piauí";1;-;-;1
"220177 Boa Hora";-;-;1;1
"220180 Bocaina";1;-;-;1
"220190 Bom Jesus";5;-;-;5
"220191 Bom Princípio do Piauí";1;-;-;1
"220196 Brasileira";-;-;1;1
"220200 Buriti dos Lopes";3;1;-;4
"220205 Cabeceiras do Piauí";1;-;-;1
"220207 Cajazeiras do Piauí";-;-;1;1
"220209 Caldeirão Grande do Piauí";1;-;1;2
"220210 Campinas do Piauí";2;-;-;2
"220211 Campo Alegre do Fidalgo";1;-;-;1
"220217 Campo Largo do Piauí";2;-;-;2
"220220 Campo Maior";3;1;1;5
"220230 Canto do Buriti";3;1;-;4
"220240 Capitão de Campos";2;-;-;2
"220250 Caracol";6;-;-;6
"220255 Caridade do Piauí";2;-;-;2
"220260 Castelo do Piauí";2;-;-;2
"220265 Caxingó";-;1;-;1
"220270 Cocal";4;2;-;6
"220273 Coivaras";1;-;-;1
"220275 Colônia do Gurguéia";1;-;-;1
"220285 Coronel José Dias";2;-;-;2
"220290 Corrente";3;1;-;4
"220300 Cristalândia do Piauí";2;-;-;2
"220310 Cristino Castro";1;-;-;1
"220320 Curimatá";3;1;-;4
"220323 Currais";1;-;-;1
"220327 Curral Novo do Piauí";1;-;-;1
"220325 Curralinhos";2;-;-;2
"220330 Demerval Lobão";3;-;-;3
"220340 Dom Expedito Lopes";-;-;1;1
"220345 Dom Inocêncio";1;-;-;1
"220350 Elesbão Veloso";2;-;-;2
"220360 Eliseu Martins";-;-;1;1
"220370 Esperantina";5;-;-;5
"220375 Fartura do Piauí";2;-;-;2
"220390 Floriano";9;2;1;12
"220420 Francisco Santos";1;-;-;1
"220430 Fronteiras";2;-;-;2
"220435 Geminiano";2;-;-;2
"220440 Gilbués";3;-;-;3
"220450 Guadalupe";2;-;-;2
"220455 Guaribas";1;-;-;1
"220465 Ilha Grande";2;-;-;2
"220470 Inhuma";2;1;-;3
"220490 Isaías Coelho";1;-;-;1
"220500 Itainópolis";-;-;1;1
"220515 Jacobina do Piauí";2;-;-;2
"220520 Jaicós";2;1;-;3
"220525 Jardim do Mulato";1;1;-;2
"220527 Jatobá do Piauí";1;-;-;1
"220530 Jerumenha";1;-;-;1
"220550 José de Freitas";6;1;-;7
"220555 Lagoa Alegre";-;1;-;1
"220557 Lagoa de São Francisco";1;-;-;1
"220556 Lagoa do Barro do Piauí";1;-;-;1
"220560 Landri Sales";1;-;-;1
"220570 Luís Correia";11;2;-;13
"220580 Luzilândia";2;-;-;2
"220585 Madeiro";3;-;1;4
"220595 Marcolândia";-;1;-;1
"220600 Marcos Parente";1;-;-;1
"220610 Matias Olímpio";2;1;-;3
"220620 Miguel Alves";8;-;2;10
"220630 Miguel Leão";1;-;-;1
"220635 Milton Brandão";1;-;-;1
"220640 Monsenhor Gil";3;-;-;3
"220650 Monsenhor Hipólito";1;-;-;1
"220660 Monte Alegre do Piauí";2;-;-;2
"220667 Morro do Chapéu do Piauí";1;-;-;1
"220669 Murici dos Portelas";1;-;-;1
"220670 Nazaré do Piauí";1;-;-;1
"220672 Nazária";1;-;-;1
"220675 Nossa Senhora de Nazaré";1;-;-;1
